"id","group","sentence_id","lexicalization","Variable_1","Variable_2","type","filler_type","time","response","zscores","null"
"A1653","F",244,28,NA,NA,"filler","good",3586,6,0.701534995715379,"F"
"A1653","D",53,6,"value_1_3","value_2_2","stimul",NA,6027,5,0.236160295587355,"F"
"A1653","F",245,28,NA,NA,"filler","good",5302,6,0.701534995715379,"F"
"A1653","F",246,28,NA,NA,"filler","good",6807,5,0.236160295587355,"F"
"A1653","D",117,13,"value_1_3","value_2_3","stimul",NA,3894,6,0.701534995715379,"F"
"A1653","F",247,28,NA,NA,"filler","good",2913,6,0.701534995715379,"F"
"A1653","D",84,10,"value_1_1","value_2_3","stimul",NA,3472,6,0.701534995715379,"F"
"A1653","F",248,28,NA,NA,"filler","good",3848,6,0.701534995715379,"F"
"A1653","F",249,28,NA,NA,"filler","good",2572,6,0.701534995715379,"F"
"A1653","D",157,18,"value_1_2","value_2_1","stimul",NA,4039,6,0.701534995715379,"F"
"A1653","F",250,28,NA,NA,"filler","good",2929,6,0.701534995715379,"F"
"A1653","D",100,12,"value_1_1","value_2_1","stimul",NA,2660,6,0.701534995715379,"F"
"A1653","F",251,28,NA,NA,"filler","good",3377,6,0.701534995715379,"F"
"A1653","F",252,28,NA,NA,"filler","good",2381,6,0.701534995715379,"F"
"A1653","D",206,23,"value_1_3","value_2_2","stimul",NA,7495,3,-0.694589104668692,"F"
"A1653","F",253,28,NA,NA,"filler","good",2881,6,0.701534995715379,"F"
"A1653","D",45,5,"value_1_3","value_2_3","stimul",NA,2950,6,0.701534995715379,"F"
"A1653","F",254,28,NA,NA,"filler","good",3943,6,0.701534995715379,"F"
"A1653","F",255,28,NA,NA,"filler","good",7474,4,-0.229214404540668,"F"
"A1653","D",125,14,"value_1_3","value_2_2","stimul",NA,4825,5,0.236160295587355,"F"
"A1653","F",256,28,NA,NA,"filler","good",5041,6,0.701534995715379,"F"
"A1653","D",181,21,"value_1_1","value_2_1","stimul",NA,4081,6,0.701534995715379,"F"
"A1653","F",257,28,NA,NA,"filler","good",5507,5,0.236160295587355,"F"
"A1653","F",258,28,NA,NA,"filler","good",2881,6,0.701534995715379,"F"
"A1653","D",223,25,"value_1_3","value_2_1","stimul",NA,4222,6,0.701534995715379,"F"
"A1653","F",259,28,NA,NA,"filler","good",7905,6,0.701534995715379,"F"
"A1653","D",28,4,"value_1_1","value_2_1","stimul",NA,3762,6,0.701534995715379,"F"
"A1653","F",260,28,NA,NA,"filler","good",3333,6,0.701534995715379,"F"
"A1653","F",261,28,NA,NA,"filler","good",5094,2,-1.15996380479671,"F"
"A1653","D",68,8,"value_1_2","value_2_2","stimul",NA,6535,6,0.701534995715379,"F"
"A1653","F",262,28,NA,NA,"filler","good",3741,6,0.701534995715379,"F"
"A1653","D",239,27,"value_1_2","value_2_2","stimul",NA,5833,6,0.701534995715379,"F"
"A1653","F",263,28,NA,NA,"filler","good",4412,6,0.701534995715379,"F"
"A1653","F",264,28,NA,NA,"filler","bad",5476,1,-1.62533850492474,"F"
"A1653","D",198,22,"value_1_3","value_2_3","stimul",NA,2795,6,0.701534995715379,"F"
"A1653","F",265,28,NA,NA,"filler","bad",2793,6,0.701534995715379,"F"
"A1653","D",20,3,"value_1_1","value_2_2","stimul",NA,8867,3,-0.694589104668692,"F"
"A1653","F",266,28,NA,NA,"filler","bad",6185,2,-1.15996380479671,"F"
"A1653","F",267,28,NA,NA,"filler","bad",5784,2,-1.15996380479671,"F"
"A1653","D",214,24,"value_1_3","value_2_1","stimul",NA,4755,6,0.701534995715379,"F"
"A1653","F",268,28,NA,NA,"filler","bad",4591,2,-1.15996380479671,"F"
"A1653","D",4,1,"value_1_2","value_2_1","stimul",NA,4668,6,0.701534995715379,"F"
"A1653","F",269,28,NA,NA,"filler","bad",5563,1,-1.62533850492474,"F"
"A1653","F",270,28,NA,NA,"filler","bad",6801,1,-1.62533850492474,"F"
"A1653","D",231,26,"value_1_2","value_2_3","stimul",NA,3229,6,0.701534995715379,"F"
"A1653","F",271,28,NA,NA,"filler","bad",4214,1,-1.62533850492474,"F"
"A1653","D",92,11,"value_1_1","value_2_2","stimul",NA,3716,6,0.701534995715379,"F"
"A1653","F",272,28,NA,NA,"filler","bad",3544,6,0.701534995715379,"F"
"A1653","F",273,28,NA,NA,"filler","bad",10000,NA,NA,"T"
"A1653","D",76,9,"value_1_2","value_2_1","stimul",NA,4179,6,0.701534995715379,"F"
"A1653","F",274,28,NA,NA,"filler","bad",4633,2,-1.15996380479671,"F"
"A1653","D",173,20,"value_1_1","value_2_2","stimul",NA,8137,6,0.701534995715379,"F"
"A1653","F",275,28,NA,NA,"filler","bad",3978,1,-1.62533850492474,"F"
"A1653","F",276,28,NA,NA,"filler","bad",3181,1,-1.62533850492474,"F"
"A1653","D",12,2,"value_1_1","value_2_3","stimul",NA,5709,6,0.701534995715379,"F"
"A1653","F",277,28,NA,NA,"filler","bad",4173,1,-1.62533850492474,"F"
"A1653","D",165,19,"value_1_1","value_2_3","stimul",NA,2947,6,0.701534995715379,"F"
"A1653","F",278,28,NA,NA,"filler","bad",3099,1,-1.62533850492474,"F"
"A1653","F",279,28,NA,NA,"filler","bad",3085,1,-1.62533850492474,"F"
"A1653","D",133,15,"value_1_3","value_2_1","stimul",NA,5603,7,1.1669096958434,"F"
"A1653","F",280,28,NA,NA,"filler","bad",2537,1,-1.62533850492474,"F"
"A1653","D",149,17,"value_1_2","value_2_2","stimul",NA,3836,6,0.701534995715379,"F"
"A1653","F",281,28,NA,NA,"filler","bad",3256,1,-1.62533850492474,"F"
"A1653","F",282,28,NA,NA,"filler","bad",3114,1,-1.62533850492474,"F"
"A1653","D",61,7,"value_1_3","value_2_1","stimul",NA,4164,6,0.701534995715379,"F"
"A1653","F",283,28,NA,NA,"filler","bad",2358,1,-1.62533850492474,"F"
"A1653","D",141,16,"value_1_2","value_2_3","stimul",NA,4331,6,0.701534995715379,"F"
"A1653","F",284,28,NA,NA,"filler","bad",3798,1,-1.62533850492474,"F"
"A3070","F",244,28,NA,NA,"filler","good",6827,5,0.98967065695394,"F"
"A3070","F",245,28,NA,NA,"filler","good",5239,6,1.49950099538476,"F"
"A3070","I",113,13,"value_1_2","value_2_2","stimul",NA,6478,6,1.49950099538476,"F"
"A3070","F",246,28,NA,NA,"filler","good",3460,5,0.98967065695394,"F"
"A3070","F",247,28,NA,NA,"filler","good",5970,6,1.49950099538476,"F"
"A3070","I",97,11,"value_1_3","value_2_1","stimul",NA,3689,5,0.98967065695394,"F"
"A3070","F",248,28,NA,NA,"filler","good",4854,6,1.49950099538476,"F"
"A3070","I",81,9,"value_1_3","value_2_3","stimul",NA,3416,4,0.479840318523123,"F"
"A3070","F",249,28,NA,NA,"filler","good",4901,6,1.49950099538476,"F"
"A3070","F",250,28,NA,NA,"filler","good",4253,6,1.49950099538476,"F"
"A3070","I",57,7,"value_1_1","value_2_3","stimul",NA,3038,5,0.98967065695394,"F"
"A3070","F",251,28,NA,NA,"filler","good",2722,6,1.49950099538476,"F"
"A3070","I",33,4,"value_1_2","value_2_3","stimul",NA,3721,5,0.98967065695394,"F"
"A3070","F",252,28,NA,NA,"filler","good",5103,5,0.98967065695394,"F"
"A3070","F",253,28,NA,NA,"filler","good",6626,6,1.49950099538476,"F"
"A3070","I",89,10,"value_1_3","value_2_2","stimul",NA,3218,4,0.479840318523123,"F"
"A3070","F",254,28,NA,NA,"filler","good",4144,5,0.98967065695394,"F"
"A3070","I",162,18,"value_1_3","value_2_3","stimul",NA,2934,4,0.479840318523123,"F"
"A3070","F",255,28,NA,NA,"filler","good",3895,4,0.479840318523123,"F"
