"id","answer_is_correct"
"B8496",NA
"B8496",1
"B8496",1
"B8496",1
"C4071",1
"C4071",1
"C4071",1
"C4071",1
"K2312",1
"K2312",1
"K2312",1
"K2312",1
"M9460",1
"M9460",1
"M9460",1
"M9460",1
"M2776",1
"M2776",1
"M2776",1
"M2776",1
"Y4006",NA
"Y4006",1
"Y4006",1
"Y4006",1
"Q7537",1
"Q7537",1
"Q7537",1
"Q7537",1
"H555",1
"H555",1
"H555",1
"H555",1
"N7737",1
"N7737",NA
"N7737",1
"N7737",1
"X8003",NA
"X8003",1
"X8003",1
"X8003",1
"N9414",1
"N9414",1
"N9414",1
"N9414",1
"G7635",1
"G7635",1
"G7635",1
"G7635",1
"G5992",1
"G5992",1
"G5992",1
"G5992",1
"R3603",0
"R3603",1
"R3603",1
"R3603",1
"I836",1
"I836",1
"I836",1
"I836",1
"D4996",1
"D4996",1
"D4996",1
"D4996",1
"K5122",1
"K5122",1
"K5122",1
"K5122",1
"Y8882",1
"Y8882",1
"Y8882",1
"Y8882",1
"C8146",1
"C8146",1
"C8146",1
"C8146",1
"J3673",1
"J3673",1
"J3673",1
"J3673",1
"P696",1
"P696",1
"P696",0
"P696",1
"D8104",1
"D8104",1
"D8104",1
"D8104",1
"I9586",1
"I9586",1
"I9586",1
"I9586",1
"G499",NA
"G499",NA
"G499",1
"G499",1
"F6657",1
"F6657",1
"F6657",1
"F6657",1
"Q1521",1
"Q1521",1
"Q1521",0
"Q1521",1
"S6973",1
"S6973",1
"S6973",1
"S6973",1
"U2332",1
"U2332",1
"U2332",1
"U2332",1
"V2343",1
"V2343",1
"V2343",1
"V2343",1
"R1452",1
"R1452",1
"R1452",1
"R1452",1
"W5858",1
"W5858",1
"W5858",1
"W5858",0
"L8484",1
"L8484",1
"L8484",1
"L8484",1
"Q5154",1
"Q5154",1
"Q5154",1
"Q5154",1
"S6252",1
"S6252",0
"S6252",0
"S6252",0
"Q4589",1
"Q4589",1
"Q4589",1
"Q4589",1
"J858",1
"J858",1
"J858",1
"J858",1
"G2367",1
"G2367",1
"G2367",1
"G2367",1
"L7093",1
"L7093",1
"L7093",1
"L7093",1
"T7477",1
"T7477",1
"T7477",1
"T7477",1
"R3588",1
"R3588",1
"R3588",1
"R3588",1
"I5884",1
"I5884",1
"I5884",1
"I5884",1
"Q9421",1
"Q9421",1
"Q9421",1
"Q9421",1
"V8993",1
"V8993",1
"V8993",1
"V8993",1
"V9391",1
"V9391",1
"V9391",1
"V9391",1
"G6297",1
"G6297",1
"G6297",1
"G6297",1
"T8232",1
"T8232",1
"T8232",1
"T8232",1
"I383",1
"I383",1
"I383",1
"I383",1
"X6602",1
"X6602",1
"X6602",1
"X6602",1
"C7710",1
"C7710",1
"C7710",1
"C7710",1
"A902",1
"A902",1
"A902",1
"A902",1
"N1310",1
"N1310",1
"N1310",1
"N1310",1
"A1653",1
"A1653",1
"A1653",1
"A1653",0
"A3070",1
"A3070",1
"A3070",1
"A3070",1
"I7330",1
"I7330",1
"I7330",1
"I7330",0
"H8688",1
"H8688",1
"H8688",1
"H8688",1
"Q8097",1
"Q8097",1
"Q8097",1
"Q8097",1
"S2749",1
"S2749",1
"S2749",1
"S2749",1
"K8739",1
"K8739",1
"K8739",1
"K8739",1
"A3888",1
"A3888",1
"A3888",1
"A3888",1
"Y1073",1
"Y1073",1
"Y1073",1
"Y1073",1
"I9207",1
"I9207",1
"I9207",1
"I9207",1
"I7813",1
"I7813",1
"I7813",1
"I7813",1
"G1953",1
"G1953",1
"G1953",1
"G1953",1
"Q3035",1
"Q3035",1
"Q3035",1
"Q3035",1
"G1779",1
"G1779",1
"G1779",1
"G1779",1
"D3608",1
"D3608",1
"D3608",1
"D3608",1
"L6858",0
"L6858",1
"L6858",1
"L6858",1
"X2389",1
"X2389",1
"X2389",1
"X2389",0
"Z3919",1
"Z3919",1
"Z3919",1
"Z3919",1
"S3817",1
"S3817",1
"S3817",1
"S3817",1
"H7928",0
"H7928",1
"H7928",1
"H7928",0
"V2831",1
"V2831",1
"V2831",1
"V2831",1
"J304",1
"J304",1
"J304",1
"J304",1
"M8701",1
"M8701",1
"M8701",1
"M8701",1
"T7162",1
"T7162",1
"T7162",1
"T7162",1
"F6774",1
"F6774",1
"F6774",1
"F6774",1
"F2334",1
"F2334",1
"F2334",1
"F2334",1
"A4404",1
"A4404",1
"A4404",1
"A4404",1
"D2412",1
"D2412",1
"D2412",1
"D2412",1
"O4003",1
"O4003",1
"O4003",1
"O4003",1
"Z1288",1
"Z1288",1
"Z1288",1
"Z1288",1
"U4787",1
"U4787",1
"U4787",1
"U4787",1
"V8969",1
"V8969",1
"V8969",1
"V8969",1
"Z1323",1
"Z1323",1
"Z1323",1
"Z1323",1
"T2650",1
"T2650",1
"T2650",1
"T2650",1
"S4528",1
"S4528",1
"S4528",1
"S4528",1
"L4663",1
"L4663",1
"L4663",1
"L4663",1
"X7065",1
"X7065",1
"X7065",1
"X7065",1
"Q4013",1
"Q4013",1
"Q4013",1
"Q4013",1
"I1279",1
"I1279",1
"I1279",1
"I1279",1
"C927",1
"C927",1
"C927",0
"C927",1
"H3787",1
"H3787",0
"H3787",1
"H3787",1
"C4640",1
"C4640",1
"C4640",1
"C4640",1
"W3425",1
"W3425",1
"W3425",1
"W3425",1
"G5787",1
"G5787",1
"G5787",1
"G5787",1
"K7617",1
"K7617",1
"K7617",1
"K7617",1
"D3047",1
"D3047",1
"D3047",1
"D3047",1
"C3769",1
"C3769",1
"C3769",1
"C3769",1
"P6424",1
"P6424",1
"P6424",1
"P6424",1
"Z8604",1
"Z8604",1
"Z8604",1
"Z8604",1
"L4766",1
"L4766",1
"L4766",1
"L4766",1
"S4179",1
"S4179",1
"S4179",1
"S4179",1
"Z3955",1
"Z3955",1
"Z3955",1
"Z3955",0
"R5198",1
"R5198",1
"R5198",1
"R5198",1
"M7780",1
"M7780",1
"M7780",1
